Date	WVHT	DPD	APD	MWD
2008-11-01 21:50:00	0.43	4.76	4.51	185
2008-11-01 22:50:00	0.44	4.76	4.57	188
2008-11-01 23:50:00	0.43	5.0	4.33	186
2008-11-02 00:50:00	0.38	5.56	4.75	187
2008-11-02 01:50:00	0.41	5.56	5.12	194
2008-11-02 02:50:00	0.41	5.56	3.9	201
2008-11-02 03:50:00	0.52	3.13	3.29	63
2008-11-02 04:50:00	0.56	3.33	3.4	63
2008-11-02 05:50:00	0.51	3.33	3.52	66
2008-11-02 06:50:00	0.57	3.57	3.33	86
2008-11-02 07:50:00	0.61	3.7	3.34	94
2008-11-02 08:50:00	0.69	3.13	3.28	48
2008-11-02 09:50:00	0.9	3.7	3.5	50
2008-11-02 10:50:00	0.89	3.7	3.6	51
2008-11-02 11:50:00	1.07	3.57	3.63	32
2008-11-02 12:50:00	1.0	3.7	3.67	29
2008-11-02 13:50:00	0.99	4.55	3.63	82
2008-11-02 14:50:00	0.92	4.35	3.67	73
2008-11-02 15:50:00	0.91	4.76	3.96	80
2008-11-02 16:50:00	0.87	5.26	4.06	82
2008-11-02 17:50:00	0.78	5.26	4.05	92
2008-11-02 18:50:00	0.81	5.26	4.17	89
2008-11-02 19:50:00	0.8	5.56	4.25	93
2008-11-02 20:50:00	0.81	5.56	4.29	97
2008-11-02 21:50:00	0.77	5.56	4.18	87
2008-11-02 22:50:00	0.84	6.25	4.21	97
2008-11-02 23:50:00	0.94	5.26	4.13	91
2008-11-03 00:50:00	0.97	5.88	4.11	94
2008-11-03 01:50:00	1.11	5.26	4.27	90
2008-11-03 02:50:00	1.06	4.55	4.09	97
2008-11-03 03:50:00	1.03	5.26	4.12	91
2008-11-03 04:50:00	1.02	5.56	4.26	98
2008-11-03 05:50:00	1.0	5.56	4.28	98
2008-11-03 06:50:00	1.01	5.56	4.25	102
2008-11-03 07:50:00	0.91	5.56	4.23	92
2008-11-03 08:50:00	0.96	5.56	4.25	97
2008-11-03 09:50:00	0.99	5.88	4.2	110
2008-11-03 10:50:00	1.0	5.56	4.28	100
2008-11-03 11:50:00	0.93	4.76	4.16	103
2008-11-03 12:50:00	0.97	5.56	4.34	101
2008-11-03 13:50:00	0.91	5.0	4.35	104
2008-11-03 14:50:00	0.89	5.0	4.36	109
2008-11-03 15:50:00	0.84	5.56	4.49	106
2008-11-03 16:50:00	0.79	5.0	4.55	104
2008-11-03 17:50:00	0.75	5.26	4.53	107
2008-11-03 18:50:00	0.73	5.0	4.59	105
2008-11-03 19:50:00	0.64	5.26	4.53	108
2008-11-03 20:50:00	0.62	5.0	4.62	120
2008-11-03 21:50:00	0.64	4.76	4.64	113
2008-11-03 22:50:00	0.59	4.76	4.6	108
2008-11-03 23:50:00	0.63	5.0	4.82	114
2008-11-04 00:50:00	0.64	5.0	4.83	109
2008-11-04 01:50:00	0.61	4.76	4.72	111
2008-11-04 02:50:00	0.62	5.0	4.89	125
2008-11-04 03:50:00	0.62	5.0	4.84	128
2008-11-04 04:50:00	0.59	9.09	4.97	141
2008-11-04 05:50:00	0.6	10.0	5.19	148
2008-11-04 06:50:00	0.57	9.09	5.17	147
2008-11-04 07:50:00	0.61	5.56	5.33	128
2008-11-04 08:50:00	0.66	9.09	5.28	146
2008-11-04 09:50:00	0.62	9.09	5.38	144
2008-11-04 10:50:00	0.67	9.09	5.45	144
2008-11-04 11:50:00	0.65	10.0	5.53	153
2008-11-04 12:50:00	0.67	10.0	5.45	136
2008-11-04 13:50:00	0.74	9.09	5.79	153
2008-11-04 14:50:00	0.7	9.09	5.57	156
2008-11-04 15:50:00	0.78	9.09	5.84	140
2008-11-04 16:50:00	0.78	8.33	5.83	166
2008-11-04 17:50:00	0.82	8.33	5.94	160
2008-11-04 18:50:00	0.92	7.14	6.21	164
2008-11-04 19:50:00	0.86	8.33	6.17	157
2008-11-04 20:50:00	0.85	9.09	6.3	149
2008-11-04 21:50:00	0.84	7.69	6.01	163
2008-11-04 22:50:00	0.89	8.33	6.41	166
2008-11-04 23:50:00	0.81	9.09	5.93	161
2008-11-05 00:50:00	0.82	9.09	5.95	158
2008-11-05 01:50:00	0.87	7.69	5.97	162
2008-11-05 02:50:00	0.96	8.33	6.32	163
2008-11-05 03:50:00	0.9	8.33	5.81	163
2008-11-05 04:50:00	0.93	7.69	5.76	156
2008-11-05 05:50:00	0.97	9.09	5.73	160
2008-11-05 06:50:00	1.0	10.0	5.86	157
2008-11-05 07:50:00	1.06	9.09	5.85	167
2008-11-05 08:50:00	1.14	9.09	5.9	162
2008-11-05 09:50:00	1.18	9.09	5.74	156
2008-11-05 10:50:00	1.34	9.09	6.01	161
2008-11-05 11:50:00	1.31	9.09	6.12	161
2008-11-05 12:50:00	1.3	9.09	5.79	163
2008-11-05 13:50:00	1.49	9.09	6.33	157
2008-11-05 14:50:00	1.45	9.09	6.3	162
2008-11-05 15:50:00	1.56	9.09	6.37	153
2008-11-05 16:50:00	1.53	10.0	6.34	157
2008-11-05 17:50:00	1.74	10.0	6.79	154
2008-11-05 18:50:00	1.7	10.0	6.4	157
2008-11-05 19:50:00	1.65	10.0	5.94	156
2008-11-05 20:50:00	1.75	10.0	6.18	151
2008-11-05 21:50:00	1.75	10.0	5.87	152
2008-11-05 22:50:00	2.0	10.0	5.8	148
2008-11-05 23:50:00	2.09	10.0	5.82	158
2008-11-06 00:50:00	2.31	10.0	6.29	140
2008-11-06 01:50:00	2.72	12.12	6.17	152
2008-11-06 02:50:00	2.91	12.12	6.49	155
2008-11-06 03:50:00	2.91	11.43	6.46	141
2008-11-06 04:50:00	3.01	12.12	6.76	145
2008-11-06 05:50:00	3.1	11.43	6.95	148
2008-11-06 06:50:00	3.08	10.81	7.03	140
2008-11-06 07:50:00	3.03	12.9	7.07	135
2008-11-06 08:50:00	3.12	12.9	7.18	140
2008-11-06 09:50:00	3.0	12.12	6.66	129
2008-11-06 10:50:00	3.25	12.12	7.35	127
2008-11-06 11:50:00	2.92	12.9	7.03	136
2008-11-06 12:50:00	2.85	12.12	6.96	129
2008-11-06 13:50:00	2.99	11.43	6.99	125
2008-11-06 14:50:00	2.78	11.43	6.95	135
2008-11-06 15:50:00	2.62	11.43	6.69	131
2008-11-06 16:50:00	2.58	11.43	7.0	142
2008-11-06 17:50:00	2.57	11.43	7.15	126
2008-11-06 18:50:00	2.15	12.12	6.63	139
2008-11-06 19:50:00	2.16	11.43	6.6	134
2008-11-06 20:50:00	2.12	10.81	6.79	142
2008-11-06 21:50:00	2.05	10.81	6.68	131
2008-11-06 22:50:00	1.96	11.43	6.44	116
2008-11-06 23:50:00	2.01	10.81	6.51	129
2008-11-07 00:50:00	2.12	10.0	6.68	131
2008-11-07 01:50:00	1.91	10.81	6.58	139
2008-11-07 02:50:00	1.74	10.81	6.23	145
2008-11-07 03:50:00	1.86	10.0	6.24	132
2008-11-07 04:50:00	1.83	10.0	6.39	140
2008-11-07 05:50:00	1.76	10.0	6.53	138
2008-11-07 06:50:00	1.81	10.0	6.41	133
2008-11-07 07:50:00	1.62	10.0	6.32	128
2008-11-07 08:50:00	1.69	10.81	6.73	123
2008-11-07 09:50:00	1.51	10.0	6.49	121
2008-11-07 10:50:00	1.55	10.0	6.86	119
2008-11-07 11:50:00	1.78	10.0	7.27	119
2008-11-07 12:50:00	1.55	10.81	6.96	108
2008-11-07 13:50:00	1.52	10.81	6.99	114
2008-11-07 14:50:00	1.41	10.0	6.67	115
2008-11-07 15:50:00	1.54	10.0	6.79	121
2008-11-07 16:50:00	1.48	10.0	6.95	112
2008-11-07 17:50:00	1.39	10.0	6.89	115
2008-11-07 18:50:00	1.33	9.09	6.7	124
2008-11-07 19:50:00	1.47	10.0	7.22	115
2008-11-07 20:50:00	1.36	10.81	7.1	115
2008-11-07 21:50:00	1.35	10.0	7.26	125
2008-11-07 22:50:00	1.39	10.0	7.22	133
2008-11-07 23:50:00	1.17	10.0	6.89	125
2008-11-08 00:50:00	1.33	10.0	7.21	126
2008-11-08 01:50:00	1.39	9.09	7.26	126
2008-11-08 02:50:00	1.3	10.0	7.16	133
2008-11-08 03:50:00	1.36	10.0	7.09	122
2008-11-08 04:50:00	1.46	9.09	7.5	135
2008-11-08 05:50:00	1.24	9.09	7.03	125
2008-11-08 06:50:00	1.21	9.09	6.92	127
2008-11-08 07:50:00	1.28	10.0	7.3	117
2008-11-08 08:50:00	1.07	10.0	6.81	121
2008-11-08 09:50:00	1.21	9.09	6.77	120
2008-11-08 10:50:00	1.09	10.0	6.02	119
2008-11-08 11:50:00	1.08	10.0	5.62	118
2008-11-08 12:50:00	1.09	9.09	5.25	115
2008-11-08 13:50:00	1.18	10.0	5.35	124
2008-11-08 14:50:00	1.16	9.09	5.0	104
2008-11-08 15:50:00	1.23	9.09	4.83	101
2008-11-08 16:50:00	1.21	10.0	4.88	103
2008-11-08 17:50:00	1.29	9.09	4.69	118
2008-11-08 18:50:00	1.31	9.09	4.94	121
2008-11-08 19:50:00	1.24	9.09	5.01	121
2008-11-08 20:50:00	1.25	10.0	4.93	112
2008-11-08 21:50:00	1.21	10.0	4.95	113
2008-11-08 22:50:00	1.23	9.09	5.02	138
2008-11-08 23:50:00	1.09	9.09	5.06	118
2008-11-09 00:50:00	1.06	10.0	5.16	118
2008-11-09 01:50:00	0.94	5.26	4.93	157
2008-11-09 02:50:00	1.02	9.09	5.37	114
2008-11-09 03:50:00	0.97	9.09	5.15	110
2008-11-09 05:50:00	1.11	8.33	4.27	107
2008-11-09 06:50:00	1.06	8.33	4.13	103
2008-11-09 07:50:00	1.04	3.7	4.01	290
2008-11-09 08:50:00	0.88	9.09	4.2	99
2008-11-09 09:50:00	0.74	9.09	4.32	100
2008-11-09 10:50:00	0.67	9.09	3.96	107
2008-11-09 11:50:00	0.84	9.09	3.94	111
2008-11-09 12:50:00	0.8	9.09	3.82	118
2008-11-09 13:50:00	0.74	9.09	4.05	107
2008-11-09 14:50:00	0.71	8.33	3.83	100
2008-11-09 15:50:00	0.68	9.09	4.04	109
2008-11-09 16:50:00	0.75	3.13	3.7	262
2008-11-09 17:50:00	0.82	3.85	3.84	236
2008-11-09 18:50:00	0.78	3.45	3.75	241
2008-11-09 19:50:00	0.9	3.57	3.63	244
2008-11-09 20:50:00	0.94	3.57	3.72	239
2008-11-09 21:50:00	0.82	3.7	3.68	233
2008-11-09 22:50:00	0.72	9.09	3.79	130
2008-11-09 23:50:00	0.7	8.33	3.72	134
2008-11-10 00:50:00	0.67	7.69	3.73	150
2008-11-10 01:50:00	0.59	8.33	4.13	131
2008-11-10 02:50:00	0.65	7.69	4.6	143
2008-11-10 03:50:00	0.58	8.33	4.81	134
2008-11-10 04:50:00	0.7	8.33	5.59	129
2008-11-10 05:50:00	0.69	7.69	4.98	142
2008-11-10 06:50:00	0.7	7.14	4.54	148
2008-11-10 07:50:00	0.75	7.69	4.52	147
2008-11-10 08:50:00	0.84	7.69	4.07	133
2008-11-10 09:50:00	0.93	7.14	4.2	144
2008-11-10 10:50:00	0.97	3.57	3.97	296
2008-11-10 11:50:00	0.95	3.13	3.71	276
2008-11-10 12:50:00	0.94	3.57	3.63	278
2008-11-10 13:50:00	0.97	3.45	3.61	271
2008-11-10 14:50:00	0.92	3.7	3.58	286
2008-11-10 15:50:00	0.86	3.23	3.4	276
2008-11-10 16:50:00	0.82	3.57	3.57	277
2008-11-10 17:50:00	0.76	3.45	3.51	296
2008-11-10 18:50:00	0.81	3.57	3.64	289
2008-11-10 19:50:00	0.88	4.17	3.66	286
2008-11-10 20:50:00	0.97	4.17	3.72	292
2008-11-10 21:50:00	0.93	4.0	3.66	295
2008-11-10 22:50:00	0.98	4.17	3.63	289
2008-11-10 23:50:00	0.89	4.0	3.6	296
2008-11-11 00:50:00	0.94	3.7	3.52	294
2008-11-11 01:50:00	0.99	4.0	3.61	289
2008-11-11 02:50:00	0.95	4.0	3.59	300
2008-11-11 03:50:00	0.83	3.7	3.42	297
2008-11-11 04:50:00	0.76	3.57	3.36	295
2008-11-11 05:50:00	0.84	3.85	3.44	288
2008-11-11 06:50:00	0.8	3.85	3.54	287
2008-11-11 07:50:00	0.76	4.0	3.51	288
2008-11-11 08:50:00	0.74	3.57	3.48	295
2008-11-11 09:50:00	0.74	3.85	3.44	292
2008-11-11 10:50:00	0.85	3.85	3.53	293
2008-11-11 11:50:00	0.77	4.0	3.49	295
2008-11-11 12:50:00	0.77	4.0	3.39	296
2008-11-11 13:50:00	0.89	4.17	3.46	301
2008-11-11 14:50:00	0.87	3.85	3.53	295
2008-11-11 15:50:00	0.6	3.7	3.26	298
2008-11-11 16:50:00	0.5	3.13	3.09	296
2008-11-11 17:50:00	0.46	3.13	3.05	299
2008-11-11 18:50:00	0.43	2.86	3.08	298
2008-11-11 19:50:00	0.46	3.23	3.08	294
2008-11-11 20:50:00	0.46	3.13	3.39	298
2008-11-11 21:50:00	0.42	3.23	3.12	287
2008-11-11 22:50:00	0.41	3.13	3.09	296
2008-11-11 23:50:00	0.5	3.33	3.06	314
2008-11-12 00:50:00	0.55	3.13	3.09	318
2008-11-12 01:50:00	0.51	3.33	3.12	306
2008-11-12 02:50:00	0.54	3.23	3.09	316
2008-11-12 03:50:00	0.51	3.23	3.14	324
2008-11-12 04:50:00	0.39	2.86	3.04	338
2008-11-12 05:50:00	0.32	2.86	3.17	346
2008-11-12 06:50:00	0.29	2.74	3.03	330
2008-11-12 07:50:00	0.28	2.6	3.22	334
2008-11-12 08:50:00	0.32	2.74	3.06	341
2008-11-12 09:50:00	0.28	12.12	3.23	73
2008-11-12 10:50:00	0.26	9.09	3.67	106
2008-11-12 11:50:00	0.24	99.0	4.52	999
2008-11-12 12:50:00	0.23	99.0	5.12	999
2008-11-12 13:50:00	0.22	99.0	4.44	999
2008-11-12 14:50:00	0.27	10.81	4.85	91
2008-11-12 15:50:00	0.28	9.09	4.46	134
2008-11-12 16:50:00	0.31	10.0	4.11	132
2008-11-12 17:50:00	0.35	10.0	4.23	142
2008-11-12 18:50:00	0.32	10.0	4.13	117
2008-11-12 19:50:00	0.34	13.79	4.26	142
2008-11-12 20:50:00	0.34	8.33	4.12	142
2008-11-12 21:50:00	0.33	10.81	4.33	154
2008-11-12 22:50:00	0.29	10.0	3.99	134
2008-11-12 23:50:00	0.3	10.0	4.54	102
2008-11-13 00:50:00	0.29	8.33	4.65	155
2008-11-13 01:50:00	0.29	10.0	4.89	129
2008-11-13 02:50:00	0.3	13.79	4.64	88
2008-11-13 03:50:00	0.26	10.0	4.21	116
2008-11-13 04:50:00	0.28	14.81	4.45	146
2008-11-13 05:50:00	0.29	10.0	4.01	122
2008-11-13 06:50:00	0.32	13.79	4.26	137
2008-11-13 07:50:00	0.31	9.09	4.17	133
2008-11-13 08:50:00	0.32	9.09	4.14	136
2008-11-13 09:50:00	0.32	9.09	3.9	120
2008-11-13 10:50:00	0.37	12.9	3.98	113
2008-11-13 11:50:00	0.33	8.33	3.88	115
2008-11-13 12:50:00	0.5	3.03	3.1	128
2008-11-13 13:50:00	0.75	3.57	3.44	127
2008-11-13 14:50:00	0.99	4.17	3.79	133
2008-11-13 15:50:00	0.91	4.76	3.94	127
2008-11-13 16:50:00	0.91	4.76	4.1	130
2008-11-13 17:50:00	0.92	5.0	4.11	127
2008-11-13 18:50:00	0.95	4.55	4.2	119
2008-11-13 19:50:00	0.94	5.0	3.91	111
2008-11-13 20:50:00	0.97	4.55	3.92	116
2008-11-13 21:50:00	1.22	4.55	3.86	120
2008-11-13 22:50:00	1.45	4.55	4.18	141
2008-11-13 23:50:00	1.65	5.26	4.39	121
2008-11-14 00:50:00	1.63	5.56	4.72	124
2008-11-14 01:50:00	1.76	5.88	5.17	135
2008-11-14 02:50:00	2.05	7.14	5.37	156
2008-11-14 03:50:00	2.13	6.67	5.56	148
2008-11-14 04:50:00	2.21	7.14	5.52	148
2008-11-14 05:50:00	1.83	6.67	5.28	148
2008-11-14 06:50:00	1.83	6.67	5.22	148
2008-11-14 07:50:00	1.92	7.14	5.32	149
2008-11-14 08:50:00	1.92	7.14	5.35	144
2008-11-14 09:50:00	1.86	7.14	5.59	128
2008-11-14 10:50:00	1.76	6.67	5.6	133
2008-11-14 11:50:00	1.58	6.67	5.61	135
2008-11-14 12:50:00	1.6	7.14	5.86	135
2008-11-14 13:50:00	1.52	7.69	5.88	162
2008-11-14 14:50:00	1.51	7.69	6.01	153
2008-11-14 15:50:00	1.59	8.33	6.41	159
2008-11-14 16:50:00	1.62	8.33	6.7	166
2008-11-14 17:50:00	1.74	10.0	7.04	166
2008-11-14 18:50:00	1.65	10.0	6.71	163
2008-11-14 19:50:00	1.56	10.0	6.6	168
2008-11-14 20:50:00	1.62	9.09	6.67	173
2008-11-14 21:50:00	1.73	9.09	6.54	172
2008-11-14 22:50:00	1.57	8.33	6.32	167
2008-11-14 23:50:00	1.54	9.09	6.26	172
2008-11-15 00:50:00	1.61	9.09	6.09	163
2008-11-15 01:50:00	1.51	7.69	6.06	157
2008-11-15 02:50:00	1.42	9.09	6.46	167
2008-11-15 03:50:00	1.31	8.33	6.2	162
2008-11-15 04:50:00	1.29	8.33	6.22	160
2008-11-15 05:50:00	1.23	9.09	6.13	157
2008-11-15 06:50:00	1.15	9.09	6.23	156
2008-11-15 07:50:00	1.29	8.33	6.38	160
2008-11-15 08:50:00	1.17	7.69	5.96	150
2008-11-15 09:50:00	1.15	7.69	5.97	159
2008-11-15 10:50:00	1.23	8.33	5.99	155
2008-11-15 11:50:00	1.27	8.33	5.89	147
2008-11-15 12:50:00	1.21	8.33	5.62	152
2008-11-15 13:50:00	1.33	7.69	4.78	145
2008-11-15 14:50:00	1.35	7.69	4.79	149
2008-11-15 15:50:00	1.47	8.33	4.5	136
2008-11-15 16:50:00	1.59	7.69	4.65	152
2008-11-15 17:50:00	1.72	5.56	4.77	169
2008-11-15 18:50:00	2.07	5.88	5.17	175
2008-11-15 19:50:00	2.26	6.25	5.29	177
2008-11-15 20:50:00	2.27	6.67	5.35	171
2008-11-15 21:50:00	2.57	6.67	5.64	170
2008-11-15 22:50:00	2.81	7.14	5.92	165
2008-11-15 23:50:00	2.64	7.69	5.65	170
2008-11-16 00:50:00	2.78	8.33	6.07	167
2008-11-16 01:50:00	2.78	7.69	6.3	165
2008-11-16 02:50:00	2.85	8.33	6.69	165
2008-11-16 03:50:00	2.5	8.33	6.67	160
2008-11-16 04:50:00	2.34	9.09	6.61	161
2008-11-16 05:50:00	2.28	10.0	6.61	160
2008-11-16 06:50:00	2.28	10.0	6.64	163
2008-11-16 07:50:00	2.34	10.0	7.08	157
2008-11-16 08:50:00	2.19	10.0	6.14	152
2008-11-16 09:50:00	2.1	10.0	5.27	148
2008-11-16 10:50:00	2.45	10.0	5.33	155
2008-11-16 11:50:00	2.21	10.0	5.46	158
2008-11-16 12:50:00	1.94	4.76	5.06	293
2008-11-16 14:50:00	2.01	9.09	5.04	160
2008-11-16 15:50:00	2.16	10.0	5.04	162
2008-11-16 16:50:00	1.87	10.81	4.88	169
2008-11-16 17:50:00	1.71	10.0	4.69	166
2008-11-16 18:50:00	1.72	10.0	4.7	179
2008-11-16 19:50:00	1.71	10.0	4.57	177
2008-11-16 20:50:00	1.78	4.76	4.42	287
2008-11-16 21:50:00	1.69	4.76	4.38	288
2008-11-16 22:50:00	1.4	4.35	4.27	293
2008-11-16 23:50:00	1.39	9.09	4.51	166
2008-11-17 00:50:00	1.49	10.0	4.62	150
2008-11-17 01:50:00	1.39	10.0	4.59	152
2008-11-17 02:50:00	1.32	10.0	4.38	149
2008-11-17 03:50:00	1.34	10.0	4.32	157
2008-11-17 04:50:00	1.42	10.0	4.18	147
2008-11-17 05:50:00	1.38	4.0	4.26	257
2008-11-17 06:50:00	1.31	4.35	4.15	286
2008-11-17 07:50:00	1.13	3.57	4.0	270
2008-11-17 08:50:00	1.19	10.0	4.03	168
2008-11-17 09:50:00	1.11	10.81	4.05	151
2008-11-17 10:50:00	1.15	10.0	4.19	152
2008-11-17 11:50:00	1.11	9.09	4.28	152
2008-11-17 12:50:00	1.19	10.0	4.44	149
2008-11-17 13:50:00	0.98	9.09	4.32	157
2008-11-17 14:50:00	1.04	10.0	4.28	150
2008-11-17 15:50:00	1.06	10.81	4.19	140
2008-11-17 16:50:00	1.03	10.81	4.27	153
2008-11-17 17:50:00	1.12	10.81	4.48	129
2008-11-17 18:50:00	0.99	10.81	4.86	140
2008-11-17 19:50:00	0.94	10.81	5.0	145
2008-11-17 20:50:00	0.86	10.81	4.71	155
2008-11-17 21:50:00	0.87	9.09	4.44	152
2008-11-17 22:50:00	0.9	10.0	4.44	136
2008-11-17 23:50:00	0.8	9.09	4.56	157
2008-11-18 00:50:00	0.85	10.0	4.89	142
2008-11-18 01:50:00	0.82	10.0	4.74	139
2008-11-18 02:50:00	0.82	9.09	4.4	125
2008-11-18 03:50:00	0.79	10.0	4.86	139
2008-11-18 04:50:00	0.71	9.09	5.1	145
2008-11-18 05:50:00	0.7	10.0	5.16	134
2008-11-18 06:50:00	0.72	9.09	4.85	154
2008-11-18 07:50:00	0.64	9.09	4.43	142
2008-11-18 08:50:00	0.74	9.09	4.03	150
2008-11-18 09:50:00	0.87	9.09	3.95	148
2008-11-18 10:50:00	0.94	3.57	3.87	32
2008-11-18 11:50:00	1.0	3.7	3.78	25
2008-11-18 12:50:00	1.09	4.0	4.01	26
2008-11-18 13:50:00	1.17	3.85	3.98	16
2008-11-18 14:50:00	1.1	4.0	3.99	359
2008-11-18 16:50:00	1.01	9.09	3.95	128
2008-11-18 17:50:00	0.97	3.57	3.85	352
2008-11-18 18:50:00	0.98	3.7	3.79	352
2008-11-18 19:50:00	1.01	3.7	3.87	349
2008-11-18 20:50:00	0.97	3.85	3.86	346
2008-11-18 21:50:00	1.12	3.85	3.76	337
2008-11-18 22:50:00	1.25	4.35	3.98	360
2008-11-18 23:50:00	1.17	4.17	3.93	5
2008-11-19 00:50:00	1.15	4.17	3.94	340
2008-11-19 01:50:00	1.39	4.17	4.03	359
2008-11-19 02:50:00	1.58	4.55	4.16	339
2008-11-19 03:50:00	1.67	4.55	4.28	355
2008-11-19 04:50:00	1.48	4.55	4.14	336
2008-11-19 05:50:00	1.54	4.55	4.11	339
2008-11-19 06:50:00	1.35	4.55	4.11	334
2008-11-19 07:50:00	1.38	4.55	4.01	349
2008-11-19 08:50:00	1.51	4.76	4.11	351
2008-11-19 09:50:00	1.22	4.55	4.15	7
2008-11-19 10:50:00	1.33	4.17	4.09	340
2008-11-19 11:50:00	1.23	4.55	4.1	322
2008-11-19 12:50:00	1.14	3.85	3.99	340
2008-11-19 13:50:00	1.16	4.35	3.93	329
2008-11-19 14:50:00	0.99	4.17	3.96	337
2008-11-19 15:50:00	0.99	4.17	3.99	343
2008-11-19 16:50:00	0.99	3.7	4.13	326
2008-11-19 17:50:00	1.02	3.7	4.22	322
2008-11-19 18:50:00	1.1	3.85	4.23	299
2008-11-19 19:50:00	1.04	9.09	4.13	94
2008-11-19 20:50:00	0.96	8.33	4.27	80
2008-11-19 21:50:00	0.87	10.0	4.14	99
2008-11-19 22:50:00	0.87	3.45	3.91	303
2008-11-19 23:50:00	0.83	3.85	3.86	298
2008-11-20 00:50:00	0.84	3.57	4.01	306
2008-11-20 01:50:00	0.93	3.85	4.01	298
2008-11-20 02:50:00	0.88	9.09	4.32	99
2008-11-20 03:50:00	0.83	9.09	4.38	81
2008-11-20 04:50:00	0.79	9.09	4.54	94
2008-11-20 05:50:00	0.77	10.0	4.66	90
2008-11-20 06:50:00	0.72	10.81	4.66	98
2008-11-20 07:50:00	0.74	9.09	4.68	100
2008-11-20 08:50:00	0.79	10.0	4.88	88
2008-11-20 09:50:00	0.79	10.0	5.23	98
2008-11-20 10:50:00	0.71	10.0	5.35	97
2008-11-20 11:50:00	0.68	10.0	6.48	96
2008-11-20 12:50:00	0.68	12.9	7.07	106
2008-11-20 13:50:00	0.63	10.81	7.22	109
2008-11-20 14:50:00	0.68	12.12	7.42	104
2008-11-20 15:50:00	0.61	12.9	6.75	104
2008-11-20 16:50:00	0.58	11.43	6.1	112
2008-11-20 17:50:00	0.57	12.12	6.14	126
2008-11-20 18:50:00	0.7	10.81	4.22	104
2008-11-20 19:50:00	0.72	10.81	3.96	89
2008-11-20 20:50:00	0.84	10.81	3.82	97
2008-11-20 21:50:00	0.84	3.7	3.79	290
2008-11-20 22:50:00	0.79	3.7	3.58	294
2008-11-20 23:50:00	0.84	3.85	3.71	292
2008-11-21 00:50:00	0.7	12.12	3.8	120
2008-11-21 01:50:00	0.69	3.33	3.58	299
2008-11-21 02:50:00	0.68	10.81	3.72	84
2008-11-21 03:50:00	0.65	3.45	3.47	304
2008-11-21 04:50:00	0.67	11.43	3.68	98
2008-11-21 05:50:00	0.62	12.12	3.64	116
2008-11-21 06:50:00	0.6	12.12	3.67	131
2008-11-21 07:50:00	0.53	12.12	3.9	97
2008-11-21 08:50:00	0.49	12.9	3.98	349
2008-11-21 09:50:00	0.49	12.12	4.02	82
